# S target l2 l1
96.292585 10.499959 6.808502 14.523810
96.492986 10.234377 6.461026 14.555254
96.693387 9.963607 6.113551 14.586698
96.893788 9.687920 5.766075 14.618142
97.094188 9.407588 5.418599 14.649586
97.294589 9.122888 5.071124 14.681030
97.494990 8.834104 4.723648 14.712475
97.695391 8.541520 4.376172 14.743919
97.895792 8.245428 4.028697 14.775363
98.096192 7.946119 6.081340 15.958580
98.296593 7.643892 10.734111 18.389552
98.496994 7.339045 15.386882 20.820524
98.697395 7.031880 20.039654 23.251496
98.897796 6.722702 24.692425 25.682468
99.098196 6.411817 29.345197 28.113440
99.298597 6.099533 33.997968 30.544411
99.498998 5.786160 38.650739 32.975383
99.699399 5.472008 43.303511 35.406355
99.899800 5.157388 47.956282 37.837327
100.100200 71.017118 50.323038 39.321770
100.300601 69.947057 50.403779 39.859683
100.501002 68.882425 50.484519 40.397597
100.701403 67.823250 50.565259 40.935510
100.901804 66.769561 50.646000 41.473423
101.102204 65.721385 50.726740 42.011337
101.302605 64.678752 50.807480 42.549250
101.503006 63.641692 50.888221 43.087164
101.703407 62.610235 50.968961 43.625077
101.903808 61.584411 51.049701 44.162991
102.104208 60.564252 51.130442 44.700904
102.304609 59.549789 51.211182 45.238818
102.505010 58.541054 51.291922 45.776731
102.705411 57.538080 51.372663 46.314645
102.905812 56.540900 51.453403 46.852558
103.106212 55.549548 51.534143 47.390471
103.306613 54.564059 51.614884 47.928385
103.507014 53.584468 51.695624 48.466298
103.707415 52.610810 51.776364 49.004212
103.907816 51.643122 51.857105 49.542125
104.108216 50.681440 51.937845 50.080039
104.308617 49.725804 52.018585 50.617952
104.509018 48.776250 52.099326 51.155866
104.709419 47.832819 52.180066 51.693779
104.909820 46.895550 52.260806 52.231692
105.110220 45.964484 51.632889 51.836295
105.310621 45.039663 50.425161 50.677280
105.511022 44.121129 49.217434 49.518264
105.711423 43.208925 48.009706 48.359249
105.911824 42.303096 46.801978 47.200233
106.112224 41.403687 45.594251 46.041218
106.312625 40.510744 44.386523 44.882203
106.513026 39.624315 43.178795 43.723187
106.713427 38.744447 41.971067 42.564172
106.913828 37.871189 40.763340 41.405156
107.114228 37.004593 39.555612 40.246141
107.314629 36.144709 38.347884 39.087125
107.515030 35.291591 37.140157 37.928110
107.715431 34.445293 35.932429 36.769095
107.915832 33.605870 34.724701 35.610079
108.116232 32.773378 33.516973 34.451064
108.316633 31.947877 32.309246 33.292048
108.517034 31.129425 31.101518 32.133033
108.717435 30.318085 29.893790 30.974017
108.917836 29.513918 28.686063 29.815002
109.118236 28.716990 27.478335 28.655987
109.318637 27.927366 26.270607 27.496971
109.519038 27.145116 25.062879 26.337956
109.719439 26.370309 23.855152 25.178940
109.919840 25.603017 22.647424 24.019925
110.120240 24.843315 21.882523 23.262768
110.320641 24.091279 21.412839 22.773516
110.521042 23.346989 20.943155 22.284265
110.721443 22.610525 20.473471 21.795014
110.921844 21.881973 20.003787 21.305762
111.122244 21.161418 19.534103 20.816511
111.322645 20.448950 19.064419 20.327260
111.523046 19.744663 18.594735 19.838008
111.723447 19.048652 18.125051 19.348757
111.923848 18.361017 17.655367 18.859505
112.124248 17.681862 17.185683 18.370254
112.324649 17.011293 16.716000 17.881003
112.525050 16.349422 16.246316 17.391751
112.725451 15.696366 15.776632 16.902500
112.925852 15.052243 15.306948 16.413248
113.126253 14.417181 14.837264 15.923997
113.326653 13.791310 14.367580 15.434746
113.527054 13.174767 13.897896 14.945494
113.727455 12.567696 13.428212 14.456243
113.927856 11.970247 12.958528 13.966991
114.128257 11.382577 12.488844 13.477740
114.328657 10.804852 12.019160 12.988489
114.529058 10.237246 11.549477 12.499237
114.729459 9.679943 11.079793 12.009986
114.929860 9.133137 10.610109 11.520734
115.130261 8.597033 10.140425 11.031483
115.330661 8.071849 9.670741 10.542232
115.531062 7.557819 9.201057 10.052980
115.731463 7.055188 8.731373 9.563729
115.931864 6.564221 8.261689 9.074477
116.132265 6.085204 7.792005 8.585226
116.332665 5.618441 7.322321 8.095975
116.533066 5.164263 6.852637 7.606723
116.733467 4.723029 6.382954 7.117472
116.933868 4.295130 5.913270 6.628221
117.134269 3.880996 5.443586 6.138969
117.334669 3.481101 4.973902 5.649718
117.535070 3.095971 4.504218 5.160466
117.735471 2.726194 4.034534 4.671215
117.935872 2.372439 3.564850 4.181964
118.136273 2.035465 3.095166 3.692712
118.336673 1.716154 2.625482 3.203461
118.537074 1.415544 2.155798 2.714209
118.737475 1.134880 1.686114 2.224958
118.937876 0.875695 1.216430 1.735707
119.138277 0.639944 0.746747 1.246455
119.338677 0.430239 0.277063 0.757204
119.539078 0.250340 -0.192621 0.267952
119.739479 0.106379 -0.662305 -0.221299
119.939880 0.011793 -1.131989 -0.710550
120.140281 0.000000 -1.251562 -0.851675
120.340681 0.000000 -1.221087 -0.843602
120.541082 0.000000 -1.190612 -0.835529
120.741483 0.000000 -1.160137 -0.827456
120.941884 0.000000 -1.129662 -0.819384
121.142285 0.000000 -1.099187 -0.811311
121.342685 0.000000 -1.068712 -0.803238
121.543086 0.000000 -1.038237 -0.795165
121.743487 0.000000 -1.007762 -0.787093
121.943888 0.000000 -0.977287 -0.779020
122.144289 0.000000 -0.946813 -0.770947
122.344689 0.000000 -0.916338 -0.762874
122.545090 0.000000 -0.885863 -0.754802
122.745491 0.000000 -0.855388 -0.746729
122.945892 0.000000 -0.824913 -0.738656
123.146293 0.000000 -0.794438 -0.730583
123.346693 0.000000 -0.763963 -0.722510
123.547094 0.000000 -0.733488 -0.714438
123.747495 0.000000 -0.703013 -0.706365
123.947896 0.000000 -0.672538 -0.698292
124.148297 0.000000 -0.642063 -0.690219
124.348697 0.000000 -0.611588 -0.682147
124.549098 0.000000 -0.581113 -0.674074
124.749499 0.000000 -0.550638 -0.666001
124.949900 0.000000 -0.520164 -0.657928
125.150301 0.000000 -0.489689 -0.649855
125.350701 0.000000 -0.459214 -0.641783
125.551102 0.000000 -0.428739 -0.633710
125.751503 0.000000 -0.398264 -0.625637
125.951904 0.000000 -0.367789 -0.617564
126.152305 0.000000 -0.337314 -0.609492
126.352705 0.000000 -0.306839 -0.601419
126.553106 0.000000 -0.276364 -0.593346
126.753507 0.000000 -0.245889 -0.585273
126.953908 0.000000 -0.215414 -0.577200
127.154309 0.000000 -0.184939 -0.569128
127.354709 0.000000 -0.154464 -0.561055
127.555110 0.000000 -0.123989 -0.552982
127.755511 0.000000 -0.093515 -0.544909
127.955912 0.000000 -0.063040 -0.536837
128.156313 0.000000 -0.032565 -0.528764
128.356713 0.000000 -0.002090 -0.520691
128.557114 0.000000 0.028385 -0.512618
128.757515 0.000000 0.058860 -0.504545
128.957916 0.000000 0.089335 -0.496473
129.158317 0.000000 0.119810 -0.488400
129.358717 0.000000 0.150285 -0.480327
129.559118 0.000000 0.180760 -0.472254
129.759519 0.000000 0.211235 -0.464182
129.959920 0.000000 0.241710 -0.456109
130.160321 0.000000 0.244898 -0.448036
130.360721 0.000000 0.241265 -0.439963
130.561122 0.000000 0.237632 -0.431890
130.761523 0.000000 0.233999 -0.423818
130.961924 0.000000 0.230366 -0.415745
131.162325 0.000000 0.226732 -0.407672
131.362725 0.000000 0.223099 -0.399599
131.563126 0.000000 0.219466 -0.391527
131.763527 0.000000 0.215833 -0.383454
131.963928 0.000000 0.212200 -0.375381
132.164329 0.000000 0.208567 -0.367308
132.364729 0.000000 0.204933 -0.359235
132.565130 0.000000 0.201300 -0.351163
132.765531 0.000000 0.197667 -0.343090
132.965932 0.000000 0.194034 -0.335017
133.166333 0.000000 0.190401 -0.326944
133.366733 0.000000 0.186768 -0.318872
133.567134 0.000000 0.183135 -0.310799
133.767535 0.000000 0.179501 -0.302726
133.967936 0.000000 0.175868 -0.294653
134.168337 0.000000 0.172235 -0.286580
134.368737 0.000000 0.168602 -0.278508
134.569138 0.000000 0.164969 -0.270435
134.769539 0.000000 0.161336 -0.262362
134.969940 0.000000 0.157702 -0.254289
135.170341 0.000000 0.154069 -0.246217
135.370741 0.000000 0.150436 -0.238144
135.571142 0.000000 0.146803 -0.230071
135.771543 0.000000 0.143170 -0.221998
135.971944 0.000000 0.139537 -0.213925
136.172345 0.000000 0.135903 -0.205853
136.372745 0.000000 0.132270 -0.197780
136.573146 0.000000 0.128637 -0.189707
136.773547 0.000000 0.125004 -0.181634
136.973948 0.000000 0.121371 -0.173562
137.174349 0.000000 0.117738 -0.165489
137.374749 0.000000 0.114105 -0.157416
137.575150 0.000000 0.110471 -0.149343
137.775551 0.000000 0.106838 -0.141271
137.975952 0.000000 0.103205 -0.133198
138.176353 0.000000 0.099572 -0.125125
138.376754 0.000000 0.095939 -0.117052
138.577154 0.000000 0.092306 -0.108979
138.777555 0.000000 0.088672 -0.100907
138.977956 0.000000 0.085039 -0.092834
139.178357 0.000000 0.081406 -0.084761
139.378758 0.000000 0.077773 -0.076688
139.579158 0.000000 0.074140 -0.068616
139.779559 0.000000 0.070507 -0.060543
139.979960 0.000000 0.066874 -0.052470
140.180361 0.000000 0.063240 -0.044397
140.380762 0.000000 0.059607 -0.036324
140.581162 0.000000 0.055974 -0.028252
140.781563 0.000000 0.052341 -0.020179
140.981964 0.000000 0.048708 -0.012106
141.182365 0.000000 0.045075 -0.004033
141.382766 0.000000 0.041441 0.004039
141.583166 0.000000 0.037808 0.012112
141.783567 0.000000 0.034175 0.020185
141.983968 0.000000 0.030542 0.028258
142.184369 0.000000 0.026909 0.036331
142.384770 0.000000 0.023276 0.044403
142.585170 0.000000 0.019642 0.052476
142.785571 0.000000 0.016009 0.060549
142.985972 0.000000 0.012376 0.068622
143.186373 0.000000 0.008743 0.076694
143.386774 0.000000 0.005110 0.084767
143.587174 0.000000 0.001477 0.092840
143.787575 0.000000 -0.002156 0.100913
143.987976 0.000000 -0.005790 0.108986
144.188377 0.000000 -0.009423 0.117058
144.388778 0.000000 -0.013056 0.125131
144.589178 0.000000 -0.016689 0.133204
144.789579 0.000000 -0.020322 0.141277
144.989980 0.000000 -0.023955 0.149349
145.190381 0.000000 -0.027589 0.157422
145.390782 0.000000 -0.031222 0.165495
145.591182 0.000000 -0.034855 0.173568
145.791583 0.000000 -0.038488 0.181641
145.991984 0.000000 -0.042121 0.189713
146.192385 0.000000 -0.045754 0.197786
146.392786 0.000000 -0.049387 0.205859
146.593186 0.000000 -0.053021 0.213932
146.793587 0.000000 -0.056654 0.222004
146.993988 0.000000 -0.060287 0.230077
147.194389 0.000000 -0.063920 0.238150
147.394790 0.000000 -0.067553 0.246223
147.595190 0.000000 -0.071186 0.254296
147.795591 0.000000 -0.074820 0.262368
147.995992 0.000000 -0.078453 0.270441
148.196393 0.000000 -0.082086 0.278514
148.396794 0.000000 -0.085719 0.286587
148.597194 0.000000 -0.089352 0.294659
148.797595 0.000000 -0.092985 0.302732
148.997996 0.000000 -0.096618 0.310805
149.198397 0.000000 -0.100252 0.318878
149.398798 0.000000 -0.103885 0.326951
149.599198 0.000000 -0.107518 0.335023
149.799599 0.000000 -0.111151 0.343096
150.000000 0.000000 -0.114784 0.351169
